symbol,yesterday_volume,volume_3_days,volume_5_days,volume_15_days,volume_30_days
GIFI,16835.0,22538.0,26120.6,25083.6,27945.633333333335
XLP,18524398.0,20031986.0,21342708.6,14336421.466666667,11943705.7
IMPX,6386.0,5552.333333333333,9726.0,45428.26666666667,37026.73333333333
ISD,88344.0,100913.0,109147.4,84292.8,91127.46666666666
DZSI,88307.0,86307.0,83380.2,82855.66666666667,110357.7
CBZ,179027.0,154745.33333333334,151083.6,130544.6,164508.53333333333
VE,0.0,604954.0,509850.4,325220.3333333333,273940.93333333335
LMBS,870289.0,845071.6666666666,938283.6,786053.2666666667,912955.8666666667
EMQ.CL,900.0,1865.0,1489.0,2718.866666666667,4380.333333333333
LMAO,4513.0,20126.333333333332,14376.2,10625.066666666668,18238.9
ERY,1574876.0,2231038.3333333335,2824861.8,2603883.8666666667,1913896.5666666667
CIF,47849.0,47849.333333333336,50599.4,34061.13333333333,36025.86666666667
MTG,3644701.0,3975953.6666666665,3806069.6,3263168.533333333,2971431.033333333
BOAC.U,4684.0,129175.33333333333,79795.2,34844.13333333333,39266.86666666667
ECOR,271523.0,561478.3333333334,619617.0,652115.7333333333,711496.5666666667
COF-D.CL,427669.0,195631.0,140120.0,87368.66666666667,110662.17857142857
NHF-A,47978.0,21159.666666666668,16395.4,17885.933333333334,13529.066666666668
ASPC,17026.0,51372.0,37455.4,186234.06666666668,122032.5
ADF.U,426.0,4662.333333333333,3340.4,1415.1333333333334,2627.866666666667
FPXI,139490.0,270517.3333333333,297805.8,166589.66666666666,154553.93333333332
IBCP,77015.0,79317.66666666667,115493.6,95984.06666666667,90344.0
ZEV,664573.0,659431.6666666666,724867.6,776334.8,738073.6666666666
QJUN,4349.0,2425.0,1600.8,2751.6666666666665,5167.5
NFEC,103061.0,86363.0,88652.8,105237.8,111494.36666666667
OCUL,923652.0,773123.0,857036.0,862111.7333333333,1120532.3
CORR,136694.0,110195.33333333333,116196.8,108241.86666666667,118780.83333333333
VRMEW,3904.0,2468.0,4780.8,7027.266666666666,5265.566666666667
SIFY,280511.0,344087.0,325310.8,282694.4,264501.7
WU,10272643.0,11213003.666666666,10860924.6,8216249.333333333,6933052.6
AHH-A,13794.0,6626.666666666667,7510.0,11953.2,11680.9
HOFT,53748.0,46181.666666666664,51384.2,46025.0,40511.86666666667
SINO,243146.0,202419.0,268503.4,583775.8666666667,644336.1333333333
BSIG,1077709.0,3716384.3333333335,4003390.8,2347727.7333333334,1978497.2
PECO,180589.0,221642.0,298334.2,210571.26666666666,187645.96666666667
TEVA,9260515.0,11113537.333333334,11993059.0,10099637.866666667,11741266.833333334
SLYG,70281.0,76064.0,109181.6,75088.2,76238.23333333334
JCTCF,9878.0,5135.666666666667,5903.4,3580.8,2418.5
CSF,4766.0,18867.0,18573.0,8651.533333333333,6275.433333333333
FRONU,11721.0,150772.0,200866.8,85564.26666666666,45750.666666666664
WES,670780.0,719955.3333333334,956024.6,989841.8,950038.9333333333
DNOW,2506209.0,1560219.6666666667,1591148.8,1690481.3333333333,2603451.4
BURL,632053.0,824906.3333333334,967663.2,1047520.0666666667,801445.4666666667
